timestamp_ms,Ax,Ay,Az,Gx,Gy,Gz,label
9339,-25308,-2568,21160,-3026,1035,11764,FALL
9349,-31192,-2152,19480,-8074,69,7899,FALL
9359,-32412,-2460,14316,-13187,-3277,3624,FALL
9369,-32768,-56,11464,-14370,-3273,-2182,FALL
9379,-30732,1912,5524,-18063,-10213,-8771,FALL
9389,-27848,3716,3572,-18760,-11337,-15260,FALL
9399,-23264,6476,2164,-18935,-11419,-21419,FALL
9409,-17548,8372,2348,-20219,-11695,-25771,FALL
9419,-11148,9972,2648,-22198,-11191,-28863,FALL
9429,-4724,11812,2140,-24461,-9055,-30250,FALL
9439,2392,13336,268,-26452,-6640,-28920,FALL
9449,7464,13944,-1076,-27887,-2012,-25771,FALL
9459,11720,16156,-1940,-28371,5411,-21355,FALL
9469,15316,20412,-3112,-27399,14106,-16300,FALL
9479,16972,24212,-2420,-24886,21427,-11788,FALL
9489,17960,26548,-684,-21935,24757,-8967,FALL
9499,22800,26676,1240,-20716,26958,-8161,FALL
9509,25700,23572,-872,-18995,28172,-7104,FALL
9519,25880,23584,-960,-15844,28111,-4192,FALL
9529,25692,22336,200,-12387,26103,-2010,FALL
9539,23360,24684,5440,-9913,25016,506,FALL
9549,21972,26264,8680,-6518,23339,1777,FALL
9559,17844,22860,15344,-5306,19804,2188,FALL
9569,14932,20548,19232,-7631,18627,1036,FALL
9579,12824,20316,19728,-12219,15791,-658,FALL
9589,12328,20560,14764,-14061,13215,-1494,FALL
9599,12308,19168,12096,-14162,9322,-1120,FALL
9609,10384,17152,12800,-11187,9128,644,FALL
9619,8048,16584,14768,-7297,10482,3119,FALL
9629,7084,14800,18616,-5175,12181,6346,FALL
9639,4912,17384,24956,-4917,13594,8644,FALL
9649,4972,19824,28888,-5885,14384,7992,FALL
9659,3920,20244,26920,-4952,16145,8013,FALL
9669,2256,21216,23624,-5892,14184,7378,FALL
9679,64,20852,22848,-5462,11570,5836,FALL
9689,-1464,21168,23808,-5739,9518,3404,FALL
9699,-2336,21420,24680,-6645,6858,1067,FALL
9709,-2744,15908,10408,-1932,3881,-6556,FALL
9719,1012,14100,30244,-12738,-6760,-2424,FALL
9729,-4008,21276,24284,-10902,2680,-2365,FALL
9739,-3372,24740,15584,-7283,-1302,-6272,FALL
9749,-1368,20424,15172,-3411,-4498,-8906,FALL
9759,1472,19592,15192,31,-7526,-7608,FALL
9769,2632,20556,17692,2602,-10064,-7167,FALL
9779,3264,21680,25016,4027,-10682,-7376,FALL
9789,4156,21296,29196,4579,-6469,-6511,FALL
9799,5148,21068,30468,5557,-1967,-5646,FALL
9809,3956,19432,29484,5960,1687,-4810,FALL
9819,3300,16788,27120,7030,4706,-3570,FALL
9829,1916,15600,23556,7546,5720,-2340,FALL
