timestamp_ms,Ax,Ay,Az,Gx,Gy,Gz,label
10242,-212,16284,-2100,408,-1995,424,JERK
10252,-1376,16236,-856,-129,-2895,994,JERK
10262,-2700,16216,1152,-1282,-4222,1570,JERK
10272,-4380,16196,3472,-2589,-5553,2734,JERK
10282,-7180,15200,6332,-4551,-7356,3957,JERK
10292,-10468,13188,9624,-7075,-9676,5670,JERK
10302,-13956,11104,11864,-9331,-11951,8086,JERK
10312,-16496,10896,13644,-10336,-15000,11020,JERK
10322,-16800,13172,14844,-10044,-18530,13910,JERK
10332,-19664,16508,18884,-9367,-20511,15034,JERK
10342,-19864,19808,21636,-8826,-21623,14285,JERK
10352,-18188,20328,23608,-8548,-20613,12270,JERK
10362,-14952,19112,25632,-7593,-17298,9094,JERK
10372,-9188,18216,25624,-5408,-10800,6984,JERK
10382,-6624,19608,26672,-3969,-1149,4397,JERK
10392,-5916,21268,23392,-4243,8451,364,JERK
10402,-3852,22308,18036,-5537,13049,-3787,JERK
10412,1624,23136,12752,-6883,15420,-6605,JERK
10422,6364,23672,7040,-7240,16170,-7488,JERK
10432,5916,23424,2520,-7167,16008,-8589,JERK
10442,6072,24284,-440,-7479,14770,-11039,JERK
10452,11060,23872,-3476,-8439,13660,-12608,JERK
10462,13744,22356,-5868,-9436,12051,-12327,JERK
10472,15000,21504,-9300,-10238,9890,-11072,JERK
10482,16160,21724,-10308,-11097,7054,-10037,JERK
10492,19192,22148,-12364,-11852,4976,-9120,JERK
10502,21364,20736,-13452,-11704,4120,-7757,JERK
10512,20980,19568,-13988,-10809,4697,-6157,JERK
10522,20200,19416,-14824,-9711,5107,-5164,JERK
10532,19168,18308,-14600,-8723,5633,-4357,JERK
10542,17368,17204,-14612,-8174,5943,-4049,JERK
10552,15704,15708,-14356,-7767,5933,-4115,JERK
10562,14468,14664,-14676,-7577,5348,-4244,JERK
10572,13472,13500,-15532,-7203,4646,-4384,JERK
10582,12940,12380,-16296,-6563,4388,-4158,JERK
10592,13192,11756,-16024,-6213,4331,-2988,JERK
10602,11744,11244,-16132,-5741,3563,-1463,JERK
10612,10544,12040,-14804,-5621,2709,-397,JERK
10622,9832,12572,-13892,-5937,2060,273,JERK
10632,9804,12888,-13300,-6316,1273,1177,JERK
10642,9200,13532,-13500,-6352,-163,2151,JERK
10652,7964,14864,-12612,-6137,-1473,2728,JERK
10662,7768,17384,-11352,-5922,-3020,2377,JERK
10672,8592,20292,-8212,-6021,-3533,1902,JERK
10682,10432,22720,-6208,-6516,-2472,1547,JERK
10692,11164,24604,-5904,-7090,-812,1816,JERK
10702,11384,27208,-6164,-8183,271,2498,JERK
10712,11692,29564,-6864,-9925,238,3567,JERK
10722,12288,32316,-8736,-11624,389,5179,JERK
10732,9928,32767,-10704,-12865,186,7426,JERK
10742,4240,32767,-14488,-14030,900,10054,JERK
10752,-6184,32767,-20628,-14428,1203,11331,JERK
10762,-18440,32767,-24816,-16174,2018,8820,JERK
10772,-25924,32767,-32768,-16381,2794,4385,JERK
10782,-29216,32767,-32768,-14683,-3670,529,JERK
10792,-30156,31032,-32768,-14031,-12448,-3499,JERK
10802,-28128,28176,-32404,-9663,-25520,-9234,JERK
10812,-24180,21856,-19584,-1906,-32768,-17711,JERK
10822,-11248,19372,-8524,12159,-32768,-27420,JERK
10832,14936,14596,29052,22670,-32768,-32597,JERK
10842,31708,7520,32767,32564,-32768,-32113,JERK
10852,32767,3088,32767,32767,-22176,-26044,JERK
10862,32767,-832,32767,30279,-10228,-17213,JERK
10872,32172,-5744,32767,17928,-4213,-7879,JERK
10882,27560,-7168,32767,4254,-569,-185,JERK
10892,21524,-5360,32767,-7462,1089,5237,JERK
10902,15620,-2360,32767,-15064,3470,7323,JERK
10912,12068,636,23756,-15430,3451,6196,JERK
10922,11780,780,14740,-10052,6260,4764,JERK
10932,8492,2728,5992,-1508,8544,3221,JERK
10942,6236,4048,6252,4317,9421,1540,JERK
10952,3632,5164,6832,5927,9484,588,JERK
10962,1244,6668,7864,3442,6855,-340,JERK
10972,1872,6748,7944,-678,2743,-905,JERK
10982,4076,6276,8060,-3741,141,-507,JERK
10992,5016,6524,7004,-4442,-486,547,JERK
11002,5388,7064,6084,-2772,-104,1609,JERK
11012,4732,7192,5712,666,1199,2529,JERK
11022,3076,8452,5600,5275,3513,3362,JERK
11032,980,10892,7788,8883,5097,3560,JERK
11042,-64,13756,11396,10217,6540,3460,JERK
11052,-1380,16332,14752,9770,7190,3156,JERK
11062,-1028,18740,17572,9578,8058,3144,JERK
11072,-2056,21948,18928,10906,9518,2649,JERK
11082,-4412,26604,21540,12300,10465,1378,JERK
11092,-5856,27840,30784,11445,15205,761,JERK
11102,-13628,25000,28592,9048,21951,81,JERK
11112,-17852,24196,25864,4908,25852,-133,JERK
11122,-21400,23844,20004,756,28785,-251,JERK
11132,-24732,24136,13692,-2072,29650,-494,JERK
11142,-28380,25688,3640,-1856,28360,-2126,JERK
11152,-27096,28080,-100,680,24969,-4322,JERK
11162,-24152,29048,-1688,4667,21052,-6765,JERK
11172,-19936,24536,-1752,7479,19397,-8673,JERK
11182,-13460,19776,-2288,7712,19085,-8945,JERK
11192,-5968,15256,-4632,5089,19178,-7799,JERK
11202,1456,9136,-11344,1564,17459,-5090,JERK
11212,8532,5844,-17012,-228,12917,-1404,JERK
11222,17268,5156,-23748,2759,6045,3188,JERK
11232,18968,10828,-22100,11575,-954,6637,JERK
11242,17764,15956,-12588,19530,-5716,5970,JERK
11252,17596,19108,-96,23833,-5684,3634,JERK
11262,19128,20924,10656,21499,-1606,1819,JERK
11272,21572,20068,12356,16903,1029,1029,JERK
11282,22888,17712,13148,10619,2731,989,JERK
11292,23576,15588,11068,3772,3632,1721,JERK
11302,21204,15540,9100,-2539,3788,3210,JERK
11312,14116,15120,6500,-6291,5109,3449,JERK
11322,7272,15472,2292,-7937,7534,1540,JERK
11332,3256,15252,-3468,-7384,9230,-2546,JERK
11342,3536,13748,-7852,-5804,10068,-6864,JERK
11352,5032,11308,-11612,-3881,9280,-9490,JERK
11362,6004,9348,-12928,-1630,7427,-10199,JERK
11372,6280,8440,-13220,239,5954,-9791,JERK
11382,6432,7656,-12760,1835,4572,-8131,JERK
11392,5068,7868,-11452,3227,3418,-6270,JERK
11402,3480,9068,-9944,4119,2199,-4803,JERK
11412,1796,9788,-8480,4853,1137,-4063,JERK
11422,1072,10996,-6524,5567,256,-3531,JERK
11432,924,13112,-5268,6102,-101,-3241,JERK
11442,832,14460,-5104,6843,-917,-3310,JERK
11452,2016,16716,-5100,8220,-2170,-3687,JERK
11462,4680,19632,-3208,10340,-4446,-4307,JERK
11472,4472,22592,3204,12182,-7161,-6618,JERK
11482,4104,25292,10780,13987,-11096,-11054,JERK
11492,5144,27860,20796,15534,-16109,-16960,JERK
11502,10668,29056,32767,15226,-19750,-21577,JERK
11512,15052,25992,32767,12705,-18425,-23701,JERK
11522,22088,23576,32767,10053,-12620,-24214,JERK
11532,27388,16548,32767,3974,15,-21290,JERK
11542,24920,7024,32767,-3641,14330,-15423,JERK
11552,20152,608,32767,-10623,23935,-9234,JERK
11562,16580,620,31832,-13546,28260,-3912,JERK
11572,8596,4500,21680,-14228,28690,-2139,JERK
11582,4764,7940,10396,-16095,29992,-2841,JERK
11592,4928,10056,1540,-16761,30028,-4032,JERK
11602,7236,10300,-6908,-17555,31705,-3301,JERK
11612,6596,12708,-15356,-18969,32166,-587,JERK
11622,2776,14692,-22568,-21642,32360,2229,JERK
11632,-848,15760,-30880,-24822,32109,5052,JERK
11642,-6028,17764,-32768,-25758,28911,6939,JERK
11652,-10564,20180,-32768,-24228,25681,6974,JERK
11662,-11816,22320,-32768,-20261,21513,6452,JERK
11672,-12460,23720,-32768,-15591,18542,6253,JERK
11682,-13168,26444,-32768,-12949,17568,5684,JERK
11692,-13880,27664,-32768,-12119,14380,5271,JERK
11702,-14904,28016,-32768,-11007,8670,4796,JERK
11712,-14020,27732,-32768,-9017,2797,4221,JERK
11722,-13984,27324,-32768,-6793,-2073,3596,JERK
11732,-12256,26312,-27780,-5386,-5028,3100,JERK
11742,-11444,24352,-21868,-4287,-6274,3117,JERK
11752,-10264,23232,-17668,-3229,-6689,3004,JERK
11762,-8416,22280,-14192,-1992,-6547,2781,JERK
11772,-6348,21388,-12536,765,-5363,2633,JERK
11782,-5876,20832,-9756,3574,-4459,2095,JERK
