timestamp_ms,Ax,Ay,Az,Gx,Gy,Gz,label
6712,-9508,11740,5364,-6602,-14869,-12432,NORMAL
6722,-8800,10312,4648,-7637,-14551,-12622,NORMAL
6732,-8348,9440,4380,-8252,-13689,-12432,NORMAL
6742,-9656,9092,2980,-8146,-13592,-12097,NORMAL
6752,-11348,8884,1904,-7295,-14920,-12482,NORMAL
6762,-10172,7964,1384,-6255,-17434,-13295,NORMAL
6772,-9312,7552,4284,-5550,-17239,-14423,NORMAL
6782,-8804,7480,2676,-4584,-17503,-14417,NORMAL
6792,-8088,6080,4596,-4017,-16626,-14263,NORMAL
6802,-7956,6472,3160,-3109,-15453,-13364,NORMAL
6812,-9052,6364,2716,-1521,-15813,-12970,NORMAL
6822,-9884,6256,2684,407,-16127,-12864,NORMAL
6832,-9204,6040,2932,2154,-15792,-12615,NORMAL
6842,-9304,6084,3264,3739,-14821,-12269,NORMAL
6852,-8900,5944,4036,5246,-14898,-11704,NORMAL
6862,-9080,6128,5076,5849,-14438,-10957,NORMAL
6872,-8716,6548,5488,6179,-14310,-10199,NORMAL
6882,-8880,6772,5616,6494,-14509,-9123,NORMAL
6892,-9100,7132,6140,7009,-15179,-7933,NORMAL
6902,-9796,6896,6776,7432,-15636,-7016,NORMAL
6912,-10012,6780,6808,7540,-16137,-6494,NORMAL
6922,-9988,6996,7388,7965,-17197,-6412,NORMAL
6932,-9280,7160,9056,8077,-17181,-6845,NORMAL
6942,-7456,6572,9864,7585,-15765,-6820,NORMAL
6952,-6036,6708,10556,6683,-13054,-6223,NORMAL
6962,-6124,6656,10516,5965,-9998,-5318,NORMAL
6972,-7160,6520,9712,5821,-8024,-4553,NORMAL
6982,-7800,7140,9484,5640,-7280,-3908,NORMAL
6992,-7704,7672,9712,5158,-7210,-3225,NORMAL
7002,-6972,7728,9748,4643,-7083,-2463,NORMAL
7012,-6012,7360,9828,4102,-6685,-1399,NORMAL
7022,-5620,7052,10028,3833,-6393,-58,NORMAL
7032,-5380,7112,10252,3630,-5806,1371,NORMAL
7042,-4812,7428,10712,3421,-5205,2819,NORMAL
7052,-5216,7512,11552,2941,-4211,4297,NORMAL
7062,-5272,7668,11940,2336,-3308,5838,NORMAL
7072,-5180,8076,12612,1366,-2015,7453,NORMAL
7082,-5280,8400,13036,152,-218,9041,NORMAL
7092,-6060,8848,13360,-1353,1457,10676,NORMAL
7102,-6368,9352,13020,-3200,2801,12058,NORMAL
7112,-6804,9400,11636,-4540,3846,12954,NORMAL
7122,-6168,9520,11800,-5123,5451,13714,NORMAL
7132,-5564,8832,11404,-5441,7710,14820,NORMAL
7142,-4928,8336,11160,-5437,10321,16493,NORMAL
7152,-4768,8040,9980,-4907,13638,18417,NORMAL
7162,-4776,7764,9104,-4001,18085,20414,NORMAL
7172,-5000,8656,8532,-2617,22607,21906,NORMAL
7182,-5832,9456,8348,-1119,27343,23021,NORMAL
7192,-7108,9860,6540,182,32148,23826,NORMAL
7202,-7396,10636,6020,1667,32767,24407,NORMAL
7212,-7204,10600,4724,2415,32767,24309,NORMAL
7222,-7056,10544,3592,4122,32767,24796,NORMAL
7232,-6180,10688,2968,5748,32767,26059,NORMAL
7242,-5604,11096,2612,7152,32767,28043,NORMAL
7252,-5708,11972,2232,7870,32767,30118,NORMAL
7262,-7164,13280,2252,7844,32767,31722,NORMAL
7272,-8212,14784,1648,7339,32767,32676,NORMAL
7282,-8620,16156,1100,6169,32767,32767,NORMAL
7292,-9568,16892,1608,4368,32767,32733,NORMAL
7302,-10144,17424,1720,2456,32767,31837,NORMAL
7312,-9896,17912,1696,63,32767,30714,NORMAL
7322,-8840,17688,1164,-2792,32767,29989,NORMAL
7332,-7824,17680,216,-5323,32767,29948,NORMAL
7342,-6744,17724,-356,-7433,32767,30635,NORMAL
7352,-6228,17580,-1624,-9053,32767,31645,NORMAL
7362,-6928,18172,-2352,-10018,32767,32343,NORMAL
7372,-7420,19384,-2776,-10601,32767,32228,NORMAL
7382,-6944,21568,-2876,-11522,32767,31647,NORMAL
7392,-6720,22432,-2100,-12503,32767,30712,NORMAL
7402,-6512,22868,-1992,-12924,32767,29721,NORMAL
7412,-5948,23512,-2036,-13318,32767,28756,NORMAL
7422,-4864,24216,-2628,-13547,32767,27761,NORMAL
7432,-4248,24448,-2936,-14617,32767,27514,NORMAL
7442,-3936,24376,-3760,-16202,32767,27668,NORMAL
7452,-4436,24156,-4940,-16544,32767,27825,NORMAL
7462,-4936,23840,-5496,-16132,32767,27511,NORMAL
7472,-5836,23524,-5540,-15574,32767,26730,NORMAL
7482,-6844,23416,-5420,-14854,32767,25430,NORMAL
7492,-7744,23192,-5036,-13854,30642,23266,NORMAL
7502,-7752,22280,-4784,-12738,28057,20567,NORMAL
7512,-7320,21444,-4076,-10775,25243,17720,NORMAL
7522,-7064,21856,-2744,-8467,22544,14906,NORMAL
7532,-6316,21504,-832,-7055,19734,12457,NORMAL
7542,-5560,22492,488,-7206,17361,10593,NORMAL
7552,-5180,22500,888,-7667,14573,9071,NORMAL
7562,-4588,21660,1476,-7848,12610,7774,NORMAL
7572,-4228,20516,1768,-7464,10993,6689,NORMAL
7582,-4284,19472,1736,-6276,9466,5251,NORMAL
7592,-4188,19000,2984,-4844,8156,3687,NORMAL
7602,-3296,19388,3384,-3463,7474,2385,NORMAL
7612,-3472,19000,4228,-2429,7115,975,NORMAL
7622,-3124,18580,4644,-1495,6853,-493,NORMAL
7632,-2740,17956,5328,-690,6463,-1767,NORMAL
7642,-2224,17444,6236,176,6108,-2724,NORMAL
7652,-1780,17452,6924,620,5866,-3581,NORMAL
7662,-1532,17472,7088,817,5428,-4393,NORMAL
7672,-1068,16972,6924,1067,4763,-4899,NORMAL
7682,-792,16268,6420,1605,3795,-5303,NORMAL
7692,-1028,15696,6140,2421,3124,-5941,NORMAL
7702,-880,15556,7348,3342,2492,-6592,NORMAL
7712,-92,16424,8992,3423,2097,-7120,NORMAL
7722,120,15580,10160,2744,1773,-7475,NORMAL
7732,200,15016,8896,2448,1844,-7874,NORMAL
7742,692,14376,8604,2611,1113,-8281,NORMAL
7752,1172,14116,8812,3011,708,-8488,NORMAL
7762,1268,13528,8452,3287,435,-8596,NORMAL
7772,1336,13156,8304,3672,-207,-8743,NORMAL
7782,1536,12548,8688,4033,-937,-8792,NORMAL
7792,1888,11684,9080,4257,-1539,-8834,NORMAL
7802,2060,11104,9132,4491,-1979,-8823,NORMAL
7812,2096,10632,8848,4933,-2069,-8763,NORMAL
7822,2252,10472,8988,5277,-2250,-8696,NORMAL
7832,2188,10288,9408,5333,-2272,-8654,NORMAL
7842,2196,9588,8988,5455,-2737,-8609,NORMAL
7852,2316,8764,8468,5722,-3498,-8357,NORMAL
7862,2292,8104,8588,6208,-4120,-8095,NORMAL
7872,2288,8116,8780,6678,-4795,-7877,NORMAL
7882,2280,7936,8404,7218,-5357,-7806,NORMAL
7892,9940,2108,9020,8520,-6387,-4481,NORMAL
7902,-132,10344,6740,11482,-5751,-7237,NORMAL
7912,1248,9128,9360,10031,-7885,-8039,NORMAL
7922,3516,8212,10800,10246,-7102,-7804,NORMAL
7932,2344,8972,11968,10273,-6036,-7714,NORMAL
7942,2668,8848,12416,9612,-6663,-8417,NORMAL
7952,4716,8884,13292,8883,-7473,-8173,NORMAL
7962,5772,9596,14796,7874,-7510,-7579,NORMAL
7972,5312,8300,13420,6008,-8147,-6186,NORMAL
7982,5124,8472,11656,4430,-8931,-4863,NORMAL
7992,4888,8824,9756,4018,-9763,-3913,NORMAL
8002,4352,8904,8004,4506,-10792,-3688,NORMAL
8012,4528,8820,6552,5982,-11754,-3727,NORMAL
8022,4744,8988,6484,7952,-12067,-3856,NORMAL
8032,4492,10520,7820,9545,-11756,-4247,NORMAL
8042,4756,12996,8596,10006,-11518,-4876,NORMAL
8052,6068,13952,10108,9169,-10531,-4998,NORMAL
8062,7580,14704,11420,7033,-9758,-4051,NORMAL
8072,8452,14500,11224,4419,-9478,-1796,NORMAL
8082,8744,15088,9860,1223,-10193,900,NORMAL
8092,8156,15848,8508,-1439,-10608,3369,NORMAL
8102,7660,17340,6768,-3245,-10708,5338,NORMAL
8112,6780,17828,5284,-4441,-11008,6555,NORMAL
8122,6188,18676,4344,-4822,-10868,7089,NORMAL
8132,5112,19080,2812,-4603,-10326,7383,NORMAL
8142,3508,19432,1592,-3854,-10080,7008,NORMAL
8152,3048,19364,892,-2383,-10496,6446,NORMAL
8162,2764,19392,228,-372,-10794,5877,NORMAL
8172,2184,19860,-352,1996,-10864,5237,NORMAL
8182,1724,20192,64,3889,-10876,4697,NORMAL
8192,1704,20680,308,5630,-11669,4179,NORMAL
8202,1748,21688,-204,6966,-11690,4283,NORMAL
8212,1848,22068,976,8256,-13815,4994,NORMAL
8222,2328,22256,1544,8234,-13164,5059,NORMAL
8232,1552,21828,1692,8068,-11864,5571,NORMAL
8242,1672,21584,1612,7936,-11014,5998,NORMAL
8252,1344,20600,1152,7612,-9184,6595,NORMAL
8262,1148,20144,380,7147,-7669,7423,NORMAL
8272,564,19940,64,6574,-7107,8618,NORMAL
8282,636,20028,-532,5464,-5761,10068,NORMAL
8292,392,20456,-324,4165,-3686,11483,NORMAL
8302,-520,20440,-1584,2513,-1670,12853,NORMAL
8312,-1652,19760,-2080,897,-35,13560,NORMAL
8322,-2060,18712,-2436,-521,1121,14027,NORMAL
8332,-4504,18008,-3008,-1587,2117,13688,NORMAL
8342,-2240,17372,-2636,-1497,2139,13978,NORMAL
8352,-2948,16024,-3732,-1301,3846,12816,NORMAL
8362,-2644,15480,-4240,-949,3386,13266,NORMAL
8372,-2064,15796,-3900,-1120,2434,13345,NORMAL
8382,-1240,15868,-3784,-1596,2558,13495,NORMAL
8392,-336,15900,-3544,-1664,2754,13666,NORMAL
8402,584,16080,-3220,-1683,3160,14128,NORMAL
8412,912,16292,-2912,-1513,3583,14895,NORMAL
8422,456,16624,-2532,-1349,4065,15295,NORMAL
8432,-568,17312,-2072,-1213,4401,14933,NORMAL
8442,-1636,17776,-1664,-1056,4030,13850,NORMAL
8452,-1784,17540,-1248,-1156,3425,12622,NORMAL
8462,-1040,17404,-1012,-1711,3197,11683,NORMAL
8472,-60,17244,-916,-2363,2793,11499,NORMAL
8482,656,17140,-600,-2910,2567,11853,NORMAL
8492,472,16868,-244,-3831,2767,12120,NORMAL
8502,372,16500,136,-4704,2589,12091,NORMAL
8512,504,16416,656,-5635,2885,12011,NORMAL
8522,508,16560,744,-6550,4074,11683,NORMAL
8532,344,16756,668,-8000,5421,11292,NORMAL
8542,272,16628,200,-9430,6119,10944,NORMAL
8552,292,16444,-76,-10704,6839,10511,NORMAL
8562,120,16612,-244,-11562,7371,9853,NORMAL
8572,268,16668,208,-12333,8122,9020,NORMAL
8582,884,16348,516,-13269,9167,8193,NORMAL
8592,1908,16036,224,-14053,9654,7851,NORMAL
8602,2496,16220,20,-14023,9871,7826,NORMAL
8612,2952,16216,632,-13638,10821,7967,NORMAL
8622,3640,16304,760,-13255,12014,7899,NORMAL
8632,3836,17080,1240,-13639,12419,8098,NORMAL
8642,3456,18060,1084,-13482,12505,8012,NORMAL
8652,3248,18104,964,-12379,11990,6918,NORMAL
8662,3820,17880,1928,-10600,11386,5263,NORMAL
8672,4596,18756,3152,-8978,11701,4141,NORMAL
8682,4692,18988,3936,-7913,11835,2902,NORMAL
8692,5208,18992,3912,-6566,11167,1850,NORMAL
8702,5632,18784,5248,-5069,10762,701,NORMAL
8712,6668,18036,6680,-3660,10740,-167,NORMAL
8722,7196,18096,7940,-2739,10471,-536,NORMAL
8732,7660,18760,8296,-2198,9624,-766,NORMAL
8742,8116,18000,9284,-1773,9503,-779,NORMAL
8752,7908,16952,10136,-1331,9978,-728,NORMAL
8762,7776,16448,10204,-1346,10373,-533,NORMAL
8772,7336,10116,6876,1319,9485,-190,NORMAL
8782,6264,15564,7548,4638,11986,348,NORMAL
8792,5380,15516,9444,258,10352,-576,NORMAL
8802,7764,12920,12912,-1473,11225,-808,NORMAL
8812,7960,11564,12368,-2422,12567,-790,NORMAL
8822,7064,10600,11948,-3700,13623,-1147,NORMAL
8832,7828,9324,10892,-4811,13466,-1108,NORMAL
