timestamp_ms,Ax,Ay,Az,Gx,Gy,Gz,label
7889,9348,-7648,4620,2914,-3356,-2397,PULL
7899,9524,-7532,4448,2918,-4274,-1923,PULL
7909,10172,-7232,5048,3029,-4674,-1354,PULL
7919,9976,-7044,6124,3157,-4067,-819,PULL
7929,9944,-6812,5508,3570,-3397,-497,PULL
7939,9772,-6924,5788,3808,-3067,-419,PULL
7949,9940,-6768,6124,3797,-2684,-387,PULL
7959,10020,-6932,6144,3879,-1906,-353,PULL
7969,10328,-7032,6236,3720,-1100,65,PULL
7979,10312,-7152,6444,2968,-621,548,PULL
7989,10456,-7000,6608,2296,429,1331,PULL
7999,10072,-7080,6904,1898,2046,1888,PULL
8009,10276,-7368,7020,1648,4012,1978,PULL
8019,10392,-7364,7208,1710,5096,1588,PULL
8029,11136,-7108,7852,2065,5597,564,PULL
8039,12624,-6628,9252,2577,5173,-511,PULL
8049,13072,-6412,10828,2944,4009,-1695,PULL
8059,12844,-6204,11584,3083,2662,-3084,PULL
8069,12556,-5392,11884,3055,1320,-4538,PULL
8079,12096,-5124,11684,3099,205,-6122,PULL
8089,11588,-5052,11048,3225,-1030,-7468,PULL
8099,11120,-4936,10376,3255,-2237,-8580,PULL
8109,10464,-4908,9452,3461,-2825,-9369,PULL
8119,10176,-4732,9396,3666,-2670,-9784,PULL
8129,9664,-5128,9540,3846,-1684,-9790,PULL
8139,9632,-5032,9272,3654,-1687,-9887,PULL
8149,10040,-4800,9308,3452,-1662,-9790,PULL
8159,10436,-4672,9424,3871,-1241,-9538,PULL
8169,10684,-4604,9412,4404,-915,-9042,PULL
8179,11080,-4784,9260,4861,-954,-8218,PULL
8189,10788,-4672,9540,5445,-851,-7461,PULL
8199,10824,-4612,10140,5918,-344,-6890,PULL
8209,10572,-4740,10460,6321,218,-6352,PULL
8219,10556,-4864,11408,6735,1050,-5564,PULL
8229,10584,-5008,12104,6716,2046,-5058,PULL
8239,10668,-5104,12496,6241,2674,-4579,PULL
8249,10816,-4872,12932,5644,3427,-4358,PULL
8259,11136,-4704,13236,5155,3722,-4262,PULL
8269,11164,-4640,13300,4557,3919,-4380,PULL
8279,11152,-4412,13036,3977,3847,-4635,PULL
8289,11468,-4076,12612,3470,3318,-4938,PULL
8299,11820,-3824,12516,3132,2637,-5122,PULL
8309,12300,-3444,12724,2794,1923,-5198,PULL
8319,12320,-3280,12680,2502,1300,-5216,PULL
8329,12336,-3180,12188,2436,869,-5228,PULL
8339,12008,-3240,11820,2629,782,-5297,PULL
8349,11872,-3160,11488,2834,1023,-5303,PULL
8359,11540,-2916,11112,2975,1461,-5279,PULL
8369,11164,-2744,10832,3165,1964,-5120,PULL
8379,10828,-2624,10552,3416,2475,-4930,PULL
8389,10672,-2396,10600,3444,2897,-4728,PULL
8399,10188,-2192,10280,3456,3148,-4569,PULL
8409,9952,-2176,10040,3283,2940,-4499,PULL
8419,9744,-2028,10012,3019,2568,-4525,PULL
8429,9296,-1880,9296,2779,1992,-4662,PULL
8439,8912,-1644,8244,3069,1713,-4901,PULL
8449,8952,-1464,7660,3564,1496,-5001,PULL
8459,9048,-1436,7596,3957,1143,-5129,PULL
8469,9196,-1420,7692,4334,780,-5184,PULL
8479,9432,-1248,7832,4618,576,-5142,PULL
8489,9168,-1348,7580,4856,313,-5331,PULL
8499,9236,-1372,7616,4954,60,-5793,PULL
8509,9324,-1240,7452,5007,-129,-6242,PULL
8519,9880,-528,7236,5028,-368,-6568,PULL
8529,10444,-448,7256,5237,-653,-6749,PULL
8539,10808,-292,7000,5693,-1178,-6916,PULL
8549,11540,136,7040,6228,-1767,-7008,PULL
8559,12184,68,7868,6446,-2456,-6865,PULL
8569,12712,396,8808,6228,-2886,-6651,PULL
8579,12776,660,8968,5997,-3074,-6299,PULL
8589,12728,920,8712,5909,-2922,-5909,PULL
8599,12284,1140,8356,5902,-2831,-5541,PULL
8609,12320,1240,8084,5882,-2730,-5145,PULL
8619,11888,1320,7784,6001,-2842,-4882,PULL
8629,11112,1484,7132,6406,-2861,-4687,PULL
8639,11168,2564,6984,7241,-2821,-4438,PULL
8649,11176,2092,7836,8261,-3033,-4417,PULL
8659,11316,1672,9036,8862,-3483,-4478,PULL
8669,11228,1660,10480,8911,-3950,-4801,PULL
8679,12088,1980,12180,8570,-3884,-5228,PULL
8689,14000,1064,14144,7410,-3428,-5312,PULL
8699,15016,-892,13652,5898,-3847,-5176,PULL
8709,15260,-1900,12128,4989,-5408,-5508,PULL
8719,14932,-3304,9948,4809,-6846,-5704,PULL
8729,15280,-4772,9392,4809,-7552,-5838,PULL
8739,14972,-6384,8844,4683,-7931,-5840,PULL
8749,14972,-6504,8520,4510,-8397,-5981,PULL
8759,14272,-6772,7552,4721,-8052,-6370,PULL
8769,14716,-6448,6892,5500,-7513,-6530,PULL
8779,15440,-6460,7168,6244,-6652,-5995,PULL
8789,14864,-6556,7156,6730,-5654,-5194,PULL
8799,15316,-5404,7064,7263,-4232,-4254,PULL
8809,16720,-3584,8408,7816,-3496,-2430,PULL
8819,16136,-3244,9420,8087,-4029,-401,PULL
8829,15076,-3072,9748,7980,-3960,416,PULL
8839,14092,-3092,9036,8038,-2926,622,PULL
8849,14132,-2500,7776,8682,-1077,127,PULL
8859,14532,-1548,6836,10434,1288,-908,PULL
8869,15188,184,6408,13010,3875,-2120,PULL
8879,14472,2284,5916,16230,6617,-3561,PULL
8889,14552,3904,5696,19714,9563,-5116,PULL
8899,15460,6148,6180,22689,11299,-6216,PULL
8909,14244,9608,5200,26422,10817,-7481,PULL
8919,11732,13136,4132,30988,10578,-9541,PULL
8929,9616,15712,3992,32767,11139,-12871,PULL
8939,8492,17396,4812,32767,12313,-16838,PULL
8949,7484,18520,5368,32767,13870,-20616,PULL
8959,6056,23532,4616,32767,15932,-24289,PULL
8969,5220,22524,2196,32767,17990,-28381,PULL
8979,8768,26824,2964,32767,18785,-30044,PULL
8989,5568,26936,1072,32767,17354,-31114,PULL
8999,4480,28176,1672,32767,18246,-32199,PULL
9009,7268,28952,4008,32767,20691,-32768,PULL
9019,8280,28488,5312,32767,25307,-31427,PULL
9029,7780,28140,5496,32767,28277,-29226,PULL
9039,6776,27776,4580,32767,28650,-27898,PULL
9049,6892,24708,4284,32767,26451,-26977,PULL
9059,5484,23180,2348,32767,24998,-26594,PULL
9069,6332,20676,1100,32483,22673,-25041,PULL
9079,6912,18380,1116,30499,20701,-22370,PULL
9089,6508,17480,1104,28684,19391,-19893,PULL
9099,5980,17056,1012,27253,18599,-17973,PULL
9109,6956,14792,2592,25775,18571,-16024,PULL
9119,7112,12676,3508,23520,17941,-13799,PULL
9129,6856,11204,4664,20842,16441,-11656,PULL
9139,6340,9832,3372,18439,14315,-10311,PULL
9149,4396,9860,252,17419,11691,-10204,PULL
9159,2832,9740,-2260,17397,10918,-10623,PULL
9169,2724,7768,-3112,17305,11154,-11186,PULL
9179,2252,7972,-2552,15983,12097,-11486,PULL
9189,2044,8768,-2668,13778,14192,-11048,PULL
9199,976,10336,-3680,11721,15700,-10251,PULL
9209,-112,11432,-5200,9974,16930,-10000,PULL
9219,-316,11932,-7364,9011,18710,-10197,PULL
9229,-68,12944,-9968,9388,18796,-10423,PULL
9239,-264,12792,-11600,10648,16527,-9798,PULL
9249,-180,11136,-11716,11568,13844,-9020,PULL
9259,-724,10088,-11400,12194,11314,-7365,PULL
9269,1404,8032,-12600,13134,9216,-5806,PULL
9279,3452,8316,-13136,14208,7437,-3559,PULL
9289,5000,8652,-12904,14865,3561,-586,PULL
9299,6184,9192,-11960,14876,-457,1818,PULL
9309,7512,8328,-8980,13582,-3146,3316,PULL
9319,8488,8996,-8424,11188,-6155,4895,PULL
9329,9448,9480,-6368,7929,-8207,7028,PULL
9339,9384,9688,-4688,3749,-9468,9623,PULL
9349,8576,10844,-4420,-1186,-10857,13429,PULL
9359,5592,13068,-8196,-5444,-14256,16966,PULL
9369,2968,14324,-11964,-7821,-17691,19328,PULL
9379,2624,14568,-13972,-7966,-20491,21318,PULL
9389,2816,12900,-14104,-4467,-23350,23417,PULL
9399,6840,6544,-8784,1663,-26289,24752,PULL
9409,9848,2512,-424,6409,-30513,24703,PULL
9419,11124,4772,4760,6898,-32768,17866,PULL
9429,16448,8712,13848,1314,-32768,2874,PULL
9439,24116,8580,11736,-3611,-32768,-14573,PULL
9449,32272,10520,3832,-8212,-23661,-29810,PULL
9459,32767,20556,-11344,-15149,1620,-32768,PULL
9469,27820,32767,-32768,-21063,24849,-20439,PULL
9479,-3556,32767,-32768,-16626,32767,8043,PULL
9489,-32768,32767,-32768,8841,32767,32767,PULL
9499,-32768,32767,-32768,32767,32767,32767,PULL
9509,-32768,32767,-32768,32767,29130,32767,PULL
9519,-32768,32767,14556,32767,21589,30687,PULL
9529,-32768,32767,32767,2082,17135,27779,PULL
9539,-32768,32767,20296,-32768,-286,24598,PULL
9549,-31056,32767,-31976,-32768,-17385,26478,PULL
9559,-25152,22864,-32768,-32768,-18308,32767,PULL
9569,-29572,11164,-32768,-32768,-11282,32767,PULL
9579,-28912,2136,-32768,-32768,-3374,32767,PULL
9589,-21252,-10540,-32768,-32768,2796,32767,PULL
9599,-15892,-20540,-32768,-32768,4222,32767,PULL
9609,-11780,-31132,-32768,-32768,3095,32767,PULL
9619,-9624,-32768,-32768,-32768,1,32767,PULL
9629,-8976,-32768,-32768,-32768,-4840,32767,PULL
9639,-15136,-32768,-32768,-32768,-13536,32767,PULL
9649,-21060,-32768,-22224,-25134,-25798,32767,PULL
9659,-23584,-32768,-2824,-16920,-32768,32767,PULL
9669,-17996,-32768,14668,-17374,-32768,28386,PULL
9679,-13064,-32768,25660,-25724,-32768,17752,PULL
