timestamp_ms,Ax,Ay,Az,Gx,Gy,Gz,label
6499,8768,12920,6940,-1278,-248,-2760,PUSH
6509,9084,12712,6940,-1363,179,-2552,PUSH
6519,9304,12656,6860,-1283,334,-2162,PUSH
6529,9452,12296,6888,-1276,392,-1682,PUSH
6539,9388,12204,6964,-1319,231,-1222,PUSH
6549,9144,11840,6968,-1326,-34,-650,PUSH
6559,8844,11608,7148,-1515,-250,-231,PUSH
6569,8468,11432,7228,-1796,-101,19,PUSH
6579,8152,10876,7264,-2058,360,190,PUSH
6589,7572,10548,7652,-2556,828,434,PUSH
6599,6936,10272,7696,-3195,1407,499,PUSH
6609,6200,10212,7708,-3813,2187,227,PUSH
6619,5540,10596,7500,-4154,2704,-394,PUSH
6629,5952,11036,7516,-4219,2913,-1158,PUSH
6639,6560,11252,7496,-3977,2502,-1618,PUSH
6649,6928,11772,7584,-3401,1310,-1975,PUSH
6659,7156,11796,7956,-2825,-283,-2270,PUSH
6669,7300,11848,7932,-2313,-1841,-2453,PUSH
6679,7340,11812,7632,-1712,-3115,-2596,PUSH
6689,7548,11528,7456,-1029,-4030,-2609,PUSH
6699,7792,11384,7312,-428,-4316,-2364,PUSH
6709,7972,11516,7268,297,-3934,-1989,PUSH
6719,8132,11972,7336,1001,-3150,-1574,PUSH
6729,8056,12092,7704,1699,-2204,-1016,PUSH
6739,7976,12064,8400,2274,-1353,-416,PUSH
6749,7792,12068,8772,2613,-420,100,PUSH
6759,7512,11928,9136,2864,581,645,PUSH
6769,7372,11524,9092,3088,1518,1212,PUSH
6779,7172,11188,9152,3457,2637,1831,PUSH
6789,6724,10796,9188,3863,3747,2349,PUSH
6799,6156,10480,9324,4343,4755,2708,PUSH
6809,5692,9852,9632,4835,5403,3059,PUSH
6819,4916,9336,9804,5113,5695,3212,PUSH
6829,4264,8700,9880,5202,5952,3119,PUSH
6839,4036,8080,9692,5096,5994,2815,PUSH
6849,4084,7104,9292,4980,6062,2544,PUSH
6859,4336,6168,9012,5034,6331,2467,PUSH
6869,4396,5680,8628,5334,6877,2302,PUSH
6879,4192,5392,8228,5817,7463,2086,PUSH
6889,3756,5148,8016,6351,7850,1416,PUSH
6899,3608,5288,7564,6905,7824,581,PUSH
6909,3836,5624,7276,7635,7859,-215,PUSH
6919,4392,6224,7116,8435,7049,-870,PUSH
6929,4692,8044,7316,9103,6317,-1598,PUSH
6939,5448,8144,6160,10421,6020,-2346,PUSH
6949,7088,8236,5872,12051,5392,-2724,PUSH
6959,7796,11292,5376,13953,5913,-3172,PUSH
6969,7784,14768,5584,16657,7881,-4074,PUSH
6979,10268,20936,6552,19933,10908,-4538,PUSH
6989,11104,25012,8556,23500,12515,-3634,PUSH
6999,12548,31572,11288,27128,11995,-1901,PUSH
7009,11672,32767,16548,32767,10356,1232,PUSH
7019,7900,32767,24724,32767,4660,4884,PUSH
7029,6324,32767,32767,32767,-2461,7535,PUSH
7039,11072,32767,32767,32767,-7527,11648,PUSH
7049,10372,32767,32767,32767,-7520,18474,PUSH
7059,952,32767,32767,32767,-1590,25139,PUSH
7069,-7344,32767,32767,29724,4352,29355,PUSH
7079,-23052,32767,32767,23646,8731,27286,PUSH
7089,-23584,32767,28040,18494,10287,29412,PUSH
7099,-29648,32767,20840,15675,9693,28748,PUSH
7109,-26176,25172,15792,10467,8757,27818,PUSH
7119,-27016,6476,3440,9580,8429,28532,PUSH
7129,-32768,1324,-7440,12783,8835,22805,PUSH
7139,-14568,13444,-7516,12334,11002,25692,PUSH
7149,-7012,-11784,-7604,15121,6929,30433,PUSH
7159,-8300,-19164,-3424,18011,6741,28447,PUSH
7169,-8716,-22768,-672,16420,3293,25290,PUSH
7179,-7788,-28180,3796,10744,4794,21529,PUSH
7189,-6788,-28452,2928,2794,8330,15720,PUSH
7199,-2272,-25096,-1864,-4112,12108,10775,PUSH
7209,-2216,-23420,-7824,-5414,12276,6115,PUSH
7219,1688,-24876,-10212,-4499,9787,2160,PUSH
7229,3736,-17756,-13428,-2071,10200,542,PUSH
7239,3836,-18792,-11324,1468,9899,-1797,PUSH
7249,10188,-13472,-8760,3485,9614,-3993,PUSH
