timestamp_ms,Ax,Ay,Az,Gx,Gy,Gz,label
8132,1268,22032,-4864,-32768,10719,8699,SHAKING
8142,-800,32092,-32768,-32768,11151,4026,SHAKING
8152,3620,32767,-32768,-32768,8330,-1394,SHAKING
8162,7952,32767,-32768,-31026,5741,-3975,SHAKING
8172,10088,32767,-32768,-16984,7370,-4900,SHAKING
8182,13768,32767,-32768,-3194,11318,-5402,SHAKING
8192,17576,32767,-32768,10548,11272,-4325,SHAKING
8202,17048,32336,-32768,22820,8214,-2732,SHAKING
8212,12936,31652,-32768,32012,7530,-1614,SHAKING
8222,9100,29252,-32768,32767,7672,-1844,SHAKING
8232,8124,26224,-22436,32767,6917,-3384,SHAKING
8242,10052,22212,2060,32767,4850,-4984,SHAKING
8252,13976,16256,26156,32767,3829,-5788,SHAKING
8262,20360,11068,32767,32767,2866,-5130,SHAKING
8272,23316,8872,32767,30962,1449,-3841,SHAKING
8282,28344,1220,32767,22101,-515,-1835,SHAKING
8292,28516,-4724,32767,11156,-35,1571,SHAKING
8302,24732,-7640,32767,322,3303,4266,SHAKING
8312,20664,-7944,32767,-10772,3643,5967,SHAKING
8322,15844,-4648,32767,-21625,1661,5969,SHAKING
8332,13832,504,32767,-31156,-27,4520,SHAKING
8342,13808,5804,32767,-32768,-115,3786,SHAKING
8352,12216,15868,24004,-32768,1225,3332,SHAKING
8362,13192,21220,-464,-32768,-639,1464,SHAKING
8372,16248,27556,-27572,-32768,-1752,1212,SHAKING
8382,16448,32767,-32768,-32768,1714,1277,SHAKING
8392,18192,32767,-32768,-32676,3872,695,SHAKING
8402,18616,32767,-32768,-20979,6232,729,SHAKING
8412,18548,32228,-32768,-7350,7437,1238,SHAKING
8422,17000,30388,-32768,6548,7144,2028,SHAKING
8432,13620,29120,-32768,19355,5854,2616,SHAKING
8442,8948,26520,-32768,28839,3578,2569,SHAKING
8452,2036,25984,-32768,32767,2207,2238,SHAKING
8462,-2720,25676,-29404,32767,3989,-276,SHAKING
8472,-932,22360,-12504,32767,3093,-3152,SHAKING
8482,3036,18444,9716,32767,-1132,-5084,SHAKING
8492,8396,15008,28232,32767,-2715,-6193,SHAKING
8502,13856,11624,32767,32767,-1976,-6208,SHAKING
8512,18856,10124,32767,28180,-1000,-5186,SHAKING
8522,22144,6008,32767,21732,-1793,-4296,SHAKING
8532,25140,1128,32767,13084,-2696,-3017,SHAKING
8542,25532,-2024,32767,3415,-2926,-1426,SHAKING
8552,25888,-3228,32767,-6156,-3483,198,SHAKING
8562,24644,-1768,32767,-15522,-5034,1830,SHAKING
8572,23060,1400,32767,-23812,-5908,2778,SHAKING
8582,22536,4512,32767,-31698,-3837,4504,SHAKING
8592,20836,9248,32767,-32768,1658,7026,SHAKING
8602,17032,17256,23716,-32768,3158,6775,SHAKING
8612,17332,17868,2012,-32768,-1184,6568,SHAKING
8622,14444,21976,-18752,-32768,-4433,5917,SHAKING
8632,13104,24592,-32768,-32768,-3176,5547,SHAKING
8642,12020,27044,-32768,-32768,-411,5975,SHAKING
8652,10680,30676,-32768,-29480,1384,5968,SHAKING
8662,9092,32767,-32768,-16511,1665,5331,SHAKING
8672,6148,32767,-32768,-2,-1205,3781,SHAKING
8682,1756,32767,-32768,16415,-3248,2353,SHAKING
8692,-4436,32767,-32768,29369,-3329,39,SHAKING
