timestamp_ms,Ax,Ay,Az,Gx,Gy,Gz,label
5282,-3712,16176,956,-321,-310,-608,SUDDEN_MOVEMENT
5292,-3952,16320,1116,-391,-305,-654,SUDDEN_MOVEMENT
5302,-4300,16492,1204,-444,-206,-700,SUDDEN_MOVEMENT
5312,-4632,16816,1140,-521,-145,-783,SUDDEN_MOVEMENT
5322,-5328,17140,1544,-626,-88,-931,SUDDEN_MOVEMENT
5332,-6076,17428,1632,-992,-215,-885,SUDDEN_MOVEMENT
5342,-6808,17628,1976,-1669,-746,-957,SUDDEN_MOVEMENT
5352,-7428,17920,2336,-2445,-1436,-1047,SUDDEN_MOVEMENT
5362,-7856,18232,2840,-3402,-1775,-1156,SUDDEN_MOVEMENT
5372,-8156,17928,3312,-4410,-1700,-1181,SUDDEN_MOVEMENT
5382,-8532,17760,3296,-5686,-2097,-858,SUDDEN_MOVEMENT
5392,-8456,17480,2884,-6750,-2139,9,SUDDEN_MOVEMENT
5402,-8608,16948,2780,-7456,-2471,1182,SUDDEN_MOVEMENT
5412,-8132,16600,2796,-7765,-2086,2528,SUDDEN_MOVEMENT
5422,-7696,16404,2936,-7848,-1305,3972,SUDDEN_MOVEMENT
5432,-7520,17072,3656,-8159,-398,5192,SUDDEN_MOVEMENT
5442,-7528,17956,4632,-9208,1607,5610,SUDDEN_MOVEMENT
5452,-7336,18444,5184,-10612,3142,5913,SUDDEN_MOVEMENT
5462,-6424,18888,5672,-12227,5051,6109,SUDDEN_MOVEMENT
5472,-5796,19700,6152,-14026,7633,6144,SUDDEN_MOVEMENT
5482,-4668,19476,6224,-15819,10566,6476,SUDDEN_MOVEMENT
5492,-3956,19872,7316,-17532,14264,6420,SUDDEN_MOVEMENT
5502,-3488,19424,6904,-18562,17948,5637,SUDDEN_MOVEMENT
5512,-2348,18852,6008,-19089,21774,5204,SUDDEN_MOVEMENT
5522,-1780,17916,4208,-18413,25078,5220,SUDDEN_MOVEMENT
5532,-1308,17160,2060,-17088,27046,5601,SUDDEN_MOVEMENT
5542,-1560,16728,2364,-15725,28021,6277,SUDDEN_MOVEMENT
5552,-2044,15584,1492,-13914,28360,6199,SUDDEN_MOVEMENT
5562,-1920,14084,920,-12056,28545,6022,SUDDEN_MOVEMENT
5572,-2160,12996,276,-10041,27749,5779,SUDDEN_MOVEMENT
5582,-2236,12360,108,-8198,26175,5566,SUDDEN_MOVEMENT
5592,-2652,11736,-296,-6334,24454,4942,SUDDEN_MOVEMENT
5602,-3440,11160,-336,-4480,21912,3808,SUDDEN_MOVEMENT
5612,-3432,10928,160,-2995,19104,2499,SUDDEN_MOVEMENT
5622,-2628,10944,1148,-2420,15701,1569,SUDDEN_MOVEMENT
5632,-1216,10544,2568,-2755,12270,1126,SUDDEN_MOVEMENT
5642,164,10716,3856,-3442,9246,945,SUDDEN_MOVEMENT
5652,1116,10788,4488,-4050,6766,453,SUDDEN_MOVEMENT
5662,1976,10708,5076,-4578,3899,-463,SUDDEN_MOVEMENT
5672,3224,10892,5048,-4899,902,-1770,SUDDEN_MOVEMENT
5682,4832,11308,4776,-5044,-2220,-3312,SUDDEN_MOVEMENT
5692,6828,12456,4528,-4627,-6496,-5387,SUDDEN_MOVEMENT
5702,9252,14112,4572,-3790,-11197,-7763,SUDDEN_MOVEMENT
5712,12028,16208,5300,-2797,-15617,-10732,SUDDEN_MOVEMENT
5722,15308,18120,6420,-2153,-19029,-13793,SUDDEN_MOVEMENT
5732,18436,19120,7840,-1448,-20922,-16318,SUDDEN_MOVEMENT
5742,21780,21100,9388,-512,-21776,-17756,SUDDEN_MOVEMENT
5752,25156,23096,10028,756,-21956,-18563,SUDDEN_MOVEMENT
5762,27360,24648,11460,1617,-20973,-18573,SUDDEN_MOVEMENT
5772,27540,24524,12260,2113,-18613,-18200,SUDDEN_MOVEMENT
5782,26408,24280,11960,2648,-16267,-18479,SUDDEN_MOVEMENT
5792,25192,24052,11824,3082,-15447,-19753,SUDDEN_MOVEMENT
5802,24584,23560,11516,2889,-15066,-21266,SUDDEN_MOVEMENT
5812,23748,21916,11584,2063,-15489,-22499,SUDDEN_MOVEMENT
5822,22584,19312,10920,300,-16636,-23004,SUDDEN_MOVEMENT
5832,21256,17140,9712,-1551,-17927,-22547,SUDDEN_MOVEMENT
5842,19760,13968,8268,-2764,-19202,-21410,SUDDEN_MOVEMENT
5852,18080,11116,6864,-2691,-20865,-19387,SUDDEN_MOVEMENT
5862,16248,8432,5652,-798,-21297,-16895,SUDDEN_MOVEMENT
5872,13588,4744,4252,2241,-22007,-13567,SUDDEN_MOVEMENT
5882,9464,3072,6532,5833,-21418,-10556,SUDDEN_MOVEMENT
5892,5468,276,4900,10025,-23587,-4952,SUDDEN_MOVEMENT
5902,116,-240,5160,15866,-27624,988,SUDDEN_MOVEMENT
5912,-3176,900,9964,22916,-30729,6103,SUDDEN_MOVEMENT
5922,-9224,5016,16216,29496,-32768,8844,SUDDEN_MOVEMENT
5932,-17188,9368,29884,28366,-32768,7286,SUDDEN_MOVEMENT
5942,-17720,11112,31368,26987,-32768,4089,SUDDEN_MOVEMENT
