timestamp_ms,Ax,Ay,Az,Gx,Gy,Gz,label
7122,2356,14936,-9532,4984,-4859,-2790,SUDDEN_MOVEMENT
7132,2220,13972,-10316,4413,-3614,-1680,SUDDEN_MOVEMENT
7142,2584,13448,-9940,3835,-2336,-487,SUDDEN_MOVEMENT
7152,2588,12908,-9408,2897,-650,495,SUDDEN_MOVEMENT
7162,2812,12968,-10128,2414,-996,1469,SUDDEN_MOVEMENT
7172,3696,14100,-10624,3564,-2941,2194,SUDDEN_MOVEMENT
7182,4340,15924,-11168,5521,-3909,2151,SUDDEN_MOVEMENT
7192,4772,16244,-11748,7402,-4211,1635,SUDDEN_MOVEMENT
7202,4776,15784,-12088,8190,-4032,1163,SUDDEN_MOVEMENT
7212,4644,15116,-12052,7834,-3997,793,SUDDEN_MOVEMENT
7222,4516,14232,-12428,6852,-3965,957,SUDDEN_MOVEMENT
7232,4644,13840,-12852,6101,-4667,1404,SUDDEN_MOVEMENT
7242,4960,13880,-13456,6106,-5753,1496,SUDDEN_MOVEMENT
7252,4720,14472,-13920,6811,-6108,669,SUDDEN_MOVEMENT
7262,4832,14556,-14672,7622,-6337,-530,SUDDEN_MOVEMENT
7272,5036,14008,-15128,7982,-5936,-1047,SUDDEN_MOVEMENT
7282,5012,12984,-15584,7792,-4619,-1064,SUDDEN_MOVEMENT
7292,5444,11720,-16036,6852,-2916,-326,SUDDEN_MOVEMENT
7302,6780,10184,-17200,5694,-1937,1115,SUDDEN_MOVEMENT
7312,8656,8736,-18688,5121,-1492,2590,SUDDEN_MOVEMENT
7322,11732,7080,-20816,5762,-1077,4075,SUDDEN_MOVEMENT
7332,13568,6304,-23860,6017,-4486,6324,SUDDEN_MOVEMENT
7342,19440,-4,-32768,8835,-16739,11731,SUDDEN_MOVEMENT
7352,23636,-5352,-30856,23224,2325,16708,SUDDEN_MOVEMENT
7362,26844,-9424,-32768,25194,1366,19048,SUDDEN_MOVEMENT
7372,27296,-10176,-32768,24613,2806,18367,SUDDEN_MOVEMENT
7382,24992,-7896,-32768,20542,-2071,12104,SUDDEN_MOVEMENT
7392,21204,-2508,-32768,10447,-8383,4676,SUDDEN_MOVEMENT
7402,15188,-4388,-32768,-1035,-14355,-1619,SUDDEN_MOVEMENT
7412,7648,-1276,-32768,-16697,-15305,-6468,SUDDEN_MOVEMENT
7422,524,-1684,-27224,-32768,-7867,-9487,SUDDEN_MOVEMENT
7432,-2932,-7500,-16208,-32768,2647,-9847,SUDDEN_MOVEMENT
7442,-144,-12240,-4784,-32768,7423,-4366,SUDDEN_MOVEMENT
7452,2840,-11096,9236,-32768,13986,2093,SUDDEN_MOVEMENT
7462,-108,-1228,23048,-32768,24194,1029,SUDDEN_MOVEMENT
7472,-15988,8724,20928,-32768,15420,-5173,SUDDEN_MOVEMENT
7482,-14036,12928,26224,-32768,4238,-15724,SUDDEN_MOVEMENT
7492,-18968,13204,32767,-32768,-9056,-21629,SUDDEN_MOVEMENT
7502,-21540,13992,32767,-32768,315,-26345,SUDDEN_MOVEMENT
7512,-23928,14720,32767,-26544,-2601,-23352,SUDDEN_MOVEMENT
7522,-21612,13612,32767,-7502,5258,-13047,SUDDEN_MOVEMENT
7532,-13460,17968,32767,5822,6426,2842,SUDDEN_MOVEMENT
7542,-492,22912,30040,14327,3127,17784,SUDDEN_MOVEMENT
7552,9556,31588,23176,24285,-121,24951,SUDDEN_MOVEMENT
7562,17392,32767,17244,31424,1610,25897,SUDDEN_MOVEMENT
7572,19836,32767,11784,32767,-3579,22466,SUDDEN_MOVEMENT
7582,19432,29216,7640,32767,-5008,15774,SUDDEN_MOVEMENT
7592,13536,22684,5108,32762,-5374,7130,SUDDEN_MOVEMENT
7602,6668,15168,4104,24372,-4031,-1314,SUDDEN_MOVEMENT
7612,1544,7528,3420,15865,-1944,-5174,SUDDEN_MOVEMENT
7622,-2180,4000,3052,9683,-379,-4802,SUDDEN_MOVEMENT
7632,-2956,3368,2920,7204,591,-1618,SUDDEN_MOVEMENT
7642,-1164,5404,2432,7308,1467,3159,SUDDEN_MOVEMENT
7652,1328,9060,1268,8916,326,6985,SUDDEN_MOVEMENT
7662,3568,12076,1072,10587,-126,7968,SUDDEN_MOVEMENT
7672,4472,12888,300,11329,-406,6244,SUDDEN_MOVEMENT
7682,4076,12168,92,10459,-1642,3329,SUDDEN_MOVEMENT
7692,3144,10372,512,8516,-1977,984,SUDDEN_MOVEMENT
7702,2064,8792,196,6591,-1719,-391,SUDDEN_MOVEMENT
7712,1280,8756,-612,5165,-1926,-1363,SUDDEN_MOVEMENT
7722,1148,10024,-1748,4008,-2273,-1770,SUDDEN_MOVEMENT
7732,1312,11744,-2688,3032,-2574,-2052,SUDDEN_MOVEMENT
7742,1532,13244,-3496,3063,-2300,-2216,SUDDEN_MOVEMENT
7752,1924,14412,-4500,2772,-1355,-2207,SUDDEN_MOVEMENT
7762,2008,14864,-4536,1557,-2,-1686,SUDDEN_MOVEMENT
7772,2128,14980,-4168,-757,1329,-474,SUDDEN_MOVEMENT
7782,2144,14060,-3824,-3500,2787,1247,SUDDEN_MOVEMENT
7792,2472,13388,-3832,-5672,3526,3344,SUDDEN_MOVEMENT
7802,2968,13716,-4060,-7008,3187,5355,SUDDEN_MOVEMENT
7812,3616,14408,-3640,-7485,2763,6137,SUDDEN_MOVEMENT
7822,4284,14696,-3732,-7229,3465,5753,SUDDEN_MOVEMENT
7832,4812,14920,-3832,-7106,3227,5264,SUDDEN_MOVEMENT
7842,5032,15132,-3140,-7387,2730,4330,SUDDEN_MOVEMENT
7852,4876,14732,-2756,-7853,3283,2865,SUDDEN_MOVEMENT
7862,4836,14160,-2612,-8209,3724,1653,SUDDEN_MOVEMENT
7872,5064,14076,-2280,-8941,3871,965,SUDDEN_MOVEMENT
