timestamp_ms,Ax,Ay,Az,Gx,Gy,Gz,label
6479,14764,7788,1424,-1353,-7850,-3138,TWISTING
6489,15056,7548,896,-1896,-7860,-3533,TWISTING
6499,15008,7352,144,-2265,-7060,-3919,TWISTING
6509,15288,7576,-688,-2032,-5426,-4397,TWISTING
6519,16056,8064,-1340,-1337,-3408,-4869,TWISTING
6529,17244,8308,-1808,-418,-1304,-5211,TWISTING
6539,18144,8716,-1916,590,724,-5294,TWISTING
6549,18900,9464,-2120,1924,2813,-5135,TWISTING
6559,19480,10692,-2012,3228,4513,-5088,TWISTING
6569,19904,11796,-1464,4339,5693,-5085,TWISTING
6579,20228,12988,-756,4973,6495,-5007,TWISTING
6589,20152,14144,0,5191,6954,-4988,TWISTING
6599,19264,15204,296,5201,7441,-5275,TWISTING
6609,18404,16436,496,5359,8289,-6156,TWISTING
6619,17820,17396,440,5680,9049,-7514,TWISTING
6629,17648,18092,432,5847,9367,-9036,TWISTING
6639,17712,18480,408,5984,9666,-10483,TWISTING
6649,17196,18296,536,6215,10233,-11600,TWISTING
6659,16652,18084,360,6422,10672,-12181,TWISTING
6669,16600,17520,376,6351,10830,-12359,TWISTING
6679,16668,16556,540,6297,10782,-12240,TWISTING
6689,16028,15552,428,6238,10677,-11688,TWISTING
6699,15148,14608,308,6323,11037,-10772,TWISTING
6709,14072,13768,-104,6631,11607,-9699,TWISTING
6719,12936,13064,-360,7338,12131,-8633,TWISTING
6729,11900,12356,-748,7932,12691,-7622,TWISTING
6739,11204,11372,-724,8320,13058,-6644,TWISTING
6749,10196,10680,-1228,8597,13243,-5676,TWISTING
6759,9548,10148,-1424,8792,13094,-4616,TWISTING
6769,8576,9684,-1884,9056,12816,-3768,TWISTING
6779,7372,9676,-2260,9561,12728,-2970,TWISTING
6789,6040,9892,-2444,10534,12922,-2670,TWISTING
6799,4992,9644,-2704,11963,13822,-2629,TWISTING
6809,4428,9816,-2600,13480,14899,-2400,TWISTING
6819,3840,9932,-2196,15029,16303,-2399,TWISTING
6829,3096,9176,-1888,15989,17651,-1911,TWISTING
6839,2836,8524,-2068,16685,19116,-1069,TWISTING
6849,1748,8124,-2932,16384,19783,-175,TWISTING
6859,784,7844,-3436,14907,19501,343,TWISTING
6869,-464,8188,-3544,13370,19610,-132,TWISTING
6879,-556,8916,-4320,12379,19649,-617,TWISTING
6889,-1456,9072,-4340,11907,19990,-1875,TWISTING
6899,-904,8548,-4748,11446,20654,-3450,TWISTING
6909,376,9992,-6336,11459,21166,-4908,TWISTING
6919,-140,11744,-7916,9789,20026,-6190,TWISTING
6929,-1172,12948,-7900,7770,18709,-8023,TWISTING
6939,-2248,11804,-8980,3935,17475,-11078,TWISTING
6949,-7452,10728,-10844,11,19712,-14629,TWISTING
6959,-4972,13012,-14348,-2354,26497,-21189,TWISTING
6969,-2248,14588,-18132,-2420,32767,-27619,TWISTING
6979,-2284,16948,-19076,-288,32767,-31608,TWISTING
6989,-5576,20760,-18612,2746,32767,-32768,TWISTING
6999,-6424,26504,-16852,7753,32767,-32768,TWISTING
7009,-6500,32232,-14532,15317,32767,-32768,TWISTING
7019,-5576,32767,-10688,25122,32767,-32768,TWISTING
7029,-7164,29564,-4964,32767,32767,-28187,TWISTING
7039,-9348,26064,-816,32767,32767,-25967,TWISTING
7049,-10224,24076,-92,32025,32767,-24973,TWISTING
7059,-9856,22100,-1488,28713,32767,-21953,TWISTING
7069,-9092,20784,-3712,25546,32767,-17566,TWISTING
7079,-9264,20008,-6564,22493,32767,-13827,TWISTING
7089,-8020,17928,-9064,20090,32767,-11081,TWISTING
7099,-6208,17772,-10784,16159,32767,-7640,TWISTING
7109,-6564,19004,-12548,13261,32767,-3790,TWISTING
7119,-7720,21928,-14148,12531,32767,-2200,TWISTING
7129,-6620,25972,-13784,13975,32767,-2776,TWISTING
7139,-2744,28760,-12276,17934,32767,-3705,TWISTING
7149,1572,26040,-9796,22569,32767,-1201,TWISTING
7159,3928,25832,-8168,26316,32767,4199,TWISTING
7169,3492,25384,-6824,30007,32767,10341,TWISTING
7179,-96,23096,-5216,31884,32767,15124,TWISTING
7189,-4440,21768,-4172,31244,32767,16411,TWISTING
7199,-6960,20296,-4268,28586,32767,15685,TWISTING
7209,-8420,18412,-4452,25102,32767,13545,TWISTING
7219,-8976,17188,-7068,21352,29266,10835,TWISTING
7229,-7388,17400,-10620,19842,27272,8221,TWISTING
7239,-4676,18204,-14160,21050,28939,5800,TWISTING
7249,-1868,17816,-16636,23915,32767,4495,TWISTING
7259,1928,17940,-19012,28454,32767,5073,TWISTING
7269,4132,16892,-21280,32767,32767,7171,TWISTING
7279,4644,16188,-22320,32767,32767,10436,TWISTING
7289,3512,16480,-21752,32767,32767,13010,TWISTING
7299,2188,18976,-20360,32767,30702,14153,TWISTING
7309,1648,18244,-17732,32767,24546,15061,TWISTING
7319,64,18548,-16136,32767,21003,15679,TWISTING
7329,764,18816,-16212,32767,22117,15856,TWISTING
7339,736,17680,-16336,32767,24760,16476,TWISTING
7349,1204,16412,-15988,32767,26306,16971,TWISTING
7359,2068,16324,-15476,32767,26513,17873,TWISTING
7369,3556,16916,-13108,32767,25408,19364,TWISTING
7379,3476,16224,-9996,32767,23459,20384,TWISTING
7389,2420,13488,-6860,32767,19982,20488,TWISTING
7399,184,10920,-4300,32767,15519,18119,TWISTING
7409,1788,9044,-1540,32767,14064,14706,TWISTING
7419,1212,8448,-48,32767,14565,10224,TWISTING
7429,4372,6428,64,29791,17457,6180,TWISTING
7439,6968,4964,-1456,26838,20466,4486,TWISTING
7449,9212,3376,-4196,24405,20239,3960,TWISTING
7459,13372,3616,-5964,22830,18532,4082,TWISTING
7469,16336,2980,-5428,21876,15449,5083,TWISTING
7479,16384,4152,-4876,20990,10720,5686,TWISTING
7489,16024,4600,-3868,20279,7503,5733,TWISTING
7499,15040,3164,-3444,19989,8095,6429,TWISTING
7509,10868,776,-4372,19823,8822,6589,TWISTING
7519,9456,-708,-5416,19186,8332,5521,TWISTING
7529,9880,-340,-5512,18935,8920,4486,TWISTING
7539,9516,204,-5016,18912,8669,3848,TWISTING
7549,8992,928,-3532,18448,7232,2673,TWISTING
7559,9904,1060,-2676,17701,6822,1224,TWISTING
7569,11256,788,-2508,17037,7759,1041,TWISTING
7579,11152,208,-3636,16438,7372,1677,TWISTING
7589,11584,148,-4032,15680,5386,2003,TWISTING
7599,12492,-216,-3184,14953,3196,2054,TWISTING
7609,13352,820,-2004,14310,1991,1765,TWISTING
7619,13812,240,-580,13687,2146,1628,TWISTING
7629,13076,-1236,-48,12295,1762,1944,TWISTING
7639,12716,-1700,-1128,10440,391,2860,TWISTING
7649,12036,-884,-4552,9845,-365,2810,TWISTING
7659,12688,-996,-5236,10481,-359,2303,TWISTING
7669,13484,-2144,-4408,10706,-856,2709,TWISTING
7679,14412,-2560,-2968,10391,-1900,3249,TWISTING
7689,14016,-2120,-1228,9559,-3281,3360,TWISTING
7699,14012,-3204,-420,8301,-3841,2894,TWISTING
7709,14184,-4016,-1472,6692,-2943,2918,TWISTING
7719,14456,-4808,-4864,6164,-2598,2253,TWISTING
7729,16252,-4788,-6556,6788,-2262,2064,TWISTING
7739,15760,-5304,-6980,7837,-2747,1734,TWISTING
7749,16740,-5896,-5380,8572,-3193,1799,TWISTING
7759,16088,-6592,-4124,8304,-3849,2176,TWISTING
7769,15908,-6160,-3556,7351,-4689,2273,TWISTING
7779,15852,-6276,-3372,6804,-4673,2001,TWISTING
7789,15060,-6824,-3604,6091,-4680,1446,TWISTING
7799,15284,-6816,-4384,5960,-3592,689,TWISTING
7809,15472,-7716,-5172,6054,-2789,582,TWISTING
7819,15008,-7308,-6224,6063,-3483,730,TWISTING
7829,15244,-7128,-6224,6572,-3743,794,TWISTING
7839,15332,-7468,-5344,6658,-3881,1114,TWISTING
7849,15220,-6912,-6204,7106,-3589,951,TWISTING
7859,16540,-6020,-6060,8251,-2438,629,TWISTING
7869,16048,-6152,-5336,8865,-2466,954,TWISTING
7879,14856,-7172,-3892,8797,-3789,979,TWISTING
7889,14412,-7788,-2884,7860,-4206,1234,TWISTING
7899,14332,-7264,-3892,6812,-4202,1509,TWISTING
7909,14428,-5772,-5004,6693,-4077,1178,TWISTING
7919,14492,-4760,-4876,6999,-3748,164,TWISTING
7929,15316,-5228,-4016,7363,-2424,-29,TWISTING
7939,15076,-5616,-4152,7136,-2592,160,TWISTING
7949,15884,-5256,-4972,7391,-2842,103,TWISTING
7959,17340,-5636,-4576,7458,-2979,461,TWISTING
7969,18256,-4884,-3560,7115,-3387,1174,TWISTING
7979,18292,-3944,-1428,6484,-3904,1892,TWISTING
7989,16156,-1892,152,5287,-3848,1333,TWISTING
7999,15968,-2124,840,3960,-2216,1239,TWISTING
8009,14852,-5256,-396,2265,-1478,999,TWISTING
8019,16004,-6852,-2868,1176,-1256,957,TWISTING
8029,16636,-8308,-6128,1294,-819,679,TWISTING
8039,17060,-8312,-7884,2267,-523,940,TWISTING
8049,16340,-8240,-8428,3794,-794,1299,TWISTING
8059,14992,-7304,-7336,5115,-1311,1204,TWISTING
8069,14312,-7372,-5944,6058,-1451,1108,TWISTING
8079,14044,-8216,-5228,6629,-2026,1173,TWISTING
8089,13740,-8340,-5524,6825,-3336,983,TWISTING
8099,13980,-9072,-5396,7051,-3730,428,TWISTING
8109,15016,-11788,-5620,7239,-3114,694,TWISTING
8119,15340,-15896,-8248,7673,-3222,1801,TWISTING
8129,15124,-18152,-11940,8518,-4081,3257,TWISTING
8139,14560,-13244,-15928,10503,-4375,4952,TWISTING
8149,12436,-6668,-15432,14381,-4470,4785,TWISTING
8159,11276,-3004,-8540,16491,-4625,4055,TWISTING
8169,11620,-1996,-420,15895,-4327,2706,TWISTING
8179,13084,-3384,5608,12368,-3641,1379,TWISTING
8189,14424,-5180,6396,7526,-3017,1097,TWISTING
8199,14204,-7956,3292,3115,-2758,1428,TWISTING
8209,13096,-10596,-2792,470,-2577,1944,TWISTING
8219,12684,-11196,-8600,359,-1824,1817,TWISTING
8229,12564,-10728,-12096,2395,-1234,1113,TWISTING
8239,13128,-8608,-11360,5116,-1306,224,TWISTING
8249,13264,-6524,-7476,7330,-1613,-816,TWISTING
8259,13996,-6720,-1564,7441,-1625,-1244,TWISTING
8269,14756,-8304,664,5748,-1595,-1182,TWISTING
8279,16428,-8836,-1724,3668,-1154,-744,TWISTING
8289,17520,-6320,-5052,3321,-44,177,TWISTING
8299,17188,-5396,-5548,4242,-417,982,TWISTING
8309,16160,-6156,-2928,4132,-1054,2313,TWISTING
8319,12932,-6496,-2732,3383,-1511,2741,TWISTING
8329,11912,-5468,-3332,3220,-944,2144,TWISTING
8339,11936,-5312,-3888,3224,50,1722,TWISTING
8349,12764,-5792,-3584,2882,-575,1507,TWISTING
8359,13880,-5612,-2808,2179,-956,1332,TWISTING
8369,14300,-6160,-2276,1784,-1082,1262,TWISTING
8379,13920,-6104,-1896,739,-972,1846,TWISTING
8389,12876,-5556,-3308,162,-1318,1865,TWISTING
8399,12964,-5856,-3508,-171,-1329,1638,TWISTING
8409,13532,-6848,-4956,-224,-844,1817,TWISTING
8419,14332,-7936,-5696,32,-1074,1949,TWISTING
8429,15528,-7656,-5668,579,-1240,2547,TWISTING
8439,14748,-9064,-3988,757,-1811,3038,TWISTING
8449,14124,-9488,-2940,406,-1599,3139,TWISTING
8459,13968,-8920,-3092,3,-409,2962,TWISTING
8469,14248,-9772,-3532,-201,239,3127,TWISTING
8479,14260,-10096,-4112,-520,122,3261,TWISTING
8489,14168,-10948,-4908,-525,176,3473,TWISTING
8499,13464,-11832,-5812,-105,-59,3633,TWISTING
8509,12888,-10628,-6720,482,-14,3545,TWISTING
8519,12528,-10884,-5976,1658,-61,3140,TWISTING
8529,12624,-12004,-4260,2040,-345,2882,TWISTING
8539,11908,-12792,-3764,1750,-179,2360,TWISTING
8549,12768,-12564,-3800,1412,629,1830,TWISTING
8559,13472,-12228,-3992,1005,1263,1900,TWISTING
8569,13488,-12220,-4764,918,1274,2291,TWISTING
8579,13088,-13712,-4908,779,1164,2856,TWISTING
8589,12936,-13832,-6576,819,1282,3315,TWISTING
8599,12948,-13064,-7208,1682,1257,3447,TWISTING
8609,13040,-13500,-5588,2321,607,3501,TWISTING
8619,13152,-14320,-3608,2421,-67,3185,TWISTING
8629,12652,-13452,-4068,2117,476,2804,TWISTING
8639,12100,-12832,-4848,2440,762,2522,TWISTING
8649,11364,-13380,-4228,2348,775,2432,TWISTING
8659,11668,-12960,-4020,1917,752,2005,TWISTING
8669,12424,-12872,-3792,1615,1062,1320,TWISTING
8679,13168,-12148,-4132,1416,1085,783,TWISTING
8689,13784,-12500,-4696,1700,996,736,TWISTING
8699,13968,-12144,-5044,1685,805,1191,TWISTING
8709,13820,-10196,-5492,2137,966,1411,TWISTING
8719,13852,-9756,-3852,2663,956,1509,TWISTING
8729,14628,-9704,-2384,2128,1002,2018,TWISTING
8739,14108,-9932,-3060,1631,1042,2418,TWISTING
8749,13432,-9776,-4572,1326,580,2571,TWISTING
8759,12780,-9084,-6140,1450,70,2870,TWISTING
8769,11260,-7532,-4308,2126,817,2074,TWISTING
8779,11520,-7092,-3276,1343,603,1151,TWISTING
8789,12124,-8096,-2708,617,-196,779,TWISTING
8799,13156,-8012,-3484,-92,512,802,TWISTING
8809,13952,-8748,-4236,-323,1538,1246,TWISTING
8819,12544,-9272,-4724,-313,1038,1508,TWISTING
8829,13088,-10772,-5576,-828,314,2627,TWISTING
8839,11812,-8840,-5860,-520,1749,3617,TWISTING
8849,13436,-15424,-4948,679,1980,2947,TWISTING
8859,10244,-5664,-7256,1098,310,1951,TWISTING
8869,9292,-9232,-704,357,1423,1963,TWISTING
8879,8192,-9820,-1468,-1701,1618,1474,TWISTING
8889,8100,-9584,-4856,-2751,887,407,TWISTING
8899,9704,-9376,-6752,-2191,1715,-256,TWISTING
8909,11272,-9664,-6888,-1454,1900,-415,TWISTING
8919,12716,-8680,-4692,-1044,1622,-808,TWISTING
8929,12776,-9752,-3736,-926,1622,261,TWISTING
8939,10912,-10492,-2692,-1211,1187,843,TWISTING
8949,10152,-11872,-3208,-2072,1285,810,TWISTING
8959,10352,-12052,-4532,-2669,1505,1155,TWISTING
8969,10832,-10492,-5412,-2423,1949,1106,TWISTING
8979,11288,-9984,-4960,-1991,1892,1116,TWISTING
8989,11292,-9568,-3556,-2213,1326,1330,TWISTING
8999,11040,-10340,-3336,-2748,526,1325,TWISTING
9009,10396,-11288,-4836,-2967,485,895,TWISTING
