recording_id,source_file,label,Ax_mean,Ax_std,Ax_min,Ax_max,Ax_range,Ax_rms,Ay_mean,Ay_std,Ay_min,Ay_max,Ay_range,Ay_rms,Az_mean,Az_std,Az_min,Az_max,Az_range,Az_rms,Gx_mean,Gx_std,Gx_min,Gx_max,Gx_range,Gx_rms,Gy_mean,Gy_std,Gy_min,Gy_max,Gy_range,Gy_rms,Gz_mean,Gz_std,Gz_min,Gz_max,Gz_range,Gz_rms,acc_mag_mean,acc_mag_std,acc_mag_min,acc_mag_max,acc_mag_range,acc_mag_rms,gyro_mag_mean,gyro_mag_std,gyro_mag_min,gyro_mag_max,gyro_mag_range,gyro_mag_rms,jerk_mean,jerk_std,jerk_max
normal_002,dataset\normal\normal_002.csv,NORMAL,-3215.48,1727.5979768453076,-7032.0,-372.0,6660.0,3650.192652450005,15589.16,1031.1396871423383,12444.0,17440.0,4996.0,15623.224973096943,-369.6,1353.407787771299,-4976.0,4612.0,9588.0,1402.9671414541397,180.68,1654.902014501161,-2564.0,3227.0,5791.0,1664.7359970878265,-528.22,2748.378949781125,-5952.0,4149.0,10101.0,2798.678834736133,-567.54,1504.1389458424376,-4009.0,2538.0,6547.0,1607.6490972846034,16057.866195145489,1233.821307484933,12639.679109850851,18573.9594055764,5934.280295725548,16105.1973524077,3437.5932783086696,1171.0837856135915,736.7645485499421,6974.699563422069,6237.935014872127,3631.595349154418,28.20572402244973,465.65871221324426,1915.1335631159964
normal_002,dataset\normal\normal_002.csv,NORMAL,-4445.0,1225.0605046282408,-7032.0,-516.0,6516.0,4610.726433003806,16213.8,1105.049410659994,12672.0,17660.0,4988.0,16251.413619743977,-111.72,702.8971486640132,-1648.0,1108.0,2756.0,711.7202821333674,-139.98,1538.711538788216,-2540.0,3340.0,5880.0,1545.065564951857,2042.79,2799.4362907378336,-3762.0,6794.0,10556.0,3465.5208165584577,-2673.4,3605.265710041356,-9606.0,2538.0,12144.0,4488.319106302492,16860.49864139206,1263.8727007165646,13211.23037419301,18573.9594055764,5362.729031383389,16907.802596434583,5278.382122982224,2584.7152055461875,2588.992468123459,10826.655716332722,8237.663248209263,5877.250252456501,-5.843701049875076,295.15243844085586,680.0042251250961
normal_002,dataset\normal\normal_002.csv,NORMAL,-5453.76,1571.7149176615967,-9408.0,-3152.0,6256.0,5675.718978244078,14246.76,2588.571973579255,9444.0,17660.0,8216.0,14480.016414355336,-870.76,1123.3602015382244,-3892.0,1108.0,5000.0,1421.323721043169,857.64,1200.8817387236763,-1525.0,3340.0,4865.0,1475.6907941706486,788.31,3254.01012197258,-4600.0,6794.0,11394.0,3348.135978421426,-2111.01,5901.312522642738,-9606.0,10092.0,19698.0,6267.523650533758,15429.36107993058,2416.534515607712,10373.146870646342,18567.232211614093,8194.085340967751,15617.452493924866,6822.091255576313,2475.6012321432536,2644.8782580678453,10826.655716332722,8181.777458264876,7257.377664142882,-8.267183432082344,637.4840431397208,2699.983988257238
normal_002,dataset\normal\normal_002.csv,NORMAL,-6905.24,1536.5968314427828,-9428.0,-3152.0,6276.0,7074.140886355035,14163.24,2428.7410859126176,9444.0,17996.0,8552.0,14369.973923427977,-1940.56,891.0279941730225,-3892.0,-364.0,3528.0,2135.346341931444,1269.68,1236.691116487864,-2115.0,3402.0,5517.0,1772.425518886478,-1474.4,1630.4011960250766,-4600.0,2171.0,6771.0,2198.1954917613675,3542.16,5859.618333509445,-8733.0,12195.0,20928.0,6847.044945083973,15932.24405513135,2694.9811145408366,10373.146870646342,20389.099440632486,10015.952569986144,16158.568124682335,6624.017264980203,3313.3027922669817,1138.7159435083008,12763.922477044429,11625.206533536128,7406.455300614458,46.63141125953644,689.7303228327502,2699.983988257238
normal_002,dataset\normal\normal_002.csv,NORMAL,-6285.4,1766.918888913693,-9428.0,-3232.0,6196.0,6529.031744447258,16524.44,908.486371059027,14816.0,18008.0,3192.0,16549.394695879364,-2201.6,607.4400052680099,-3632.0,-1004.0,2628.0,2283.862062384679,-426.19,2075.4205872304533,-3261.0,3402.0,6663.0,2118.7280453139806,1179.0,2613.1350902699232,-4140.0,5587.0,9727.0,2866.795423465023,413.96,6352.761550569957,-7625.0,12195.0,19820.0,6366.234538563593,17907.126396282136,1030.325418290512,15735.640565289994,20389.099440632486,4653.458875342492,17936.74291057326,6568.786344107868,3176.0844912347634,1138.7159435083008,12763.922477044429,11625.206533536128,7296.332416358235,-12.801037252834368,370.5221528818246,1231.4709301192415
normal_002,dataset\normal\normal_002.csv,NORMAL,-5783.04,1600.185401258242,-9404.0,-3232.0,6172.0,6000.345403391375,14522.52,2662.8855119212312,9648.0,18008.0,8360.0,14764.638376878724,-1578.36,734.1243698447832,-3120.0,1040.0,4160.0,1740.7351550422595,-1722.1,688.2492934976395,-3261.0,-188.0,3073.0,1854.539161085578,2461.89,1618.81990903868,-1158.0,5587.0,6745.0,2946.435180009905,-4364.96,3544.526292524856,-9544.0,2960.0,12504.0,5622.858920513657,15859.638451035691,2345.3610473507238,11498.44093779674,19777.346636998605,8278.905699201865,16032.119330893218,6052.654390704464,2665.0915625332623,708.2732523539203,10294.009714392152,9585.736462038232,6613.421067042382,-15.51010529709112,348.4034310643043,1481.6905777478496
normal_002,dataset\normal\normal_002.csv,NORMAL,-6646.4,1565.5950945247623,-9644.0,-3440.0,6204.0,6828.302934111814,13526.32,2026.8399980264849,9648.0,17500.0,7852.0,13677.33209072588,-688.88,654.0357372498845,-1712.0,1076.0,2788.0,949.9044162440766,-66.13,2086.064096114978,-2259.0,4811.0,7070.0,2087.11202143057,-868.36,2905.7653777275277,-7033.0,3720.0,10753.0,3032.7415847711127,1719.3,6634.787456279214,-9544.0,11360.0,20904.0,6853.932964364329,15206.851863754298,1830.0570684632885,11498.44093779674,18637.022079720784,7138.581141924044,15316.57443686414,7000.675219607312,3394.186450325925,708.2732523539203,12407.520380801314,11699.247128447394,7780.099947301448,2.615005739904114,431.63246798897023,1481.6905777478496
normal_002,dataset\normal\normal_002.csv,NORMAL,-5378.84,1918.1154330227369,-9644.0,-2796.0,6848.0,5710.611750066712,15822.4,1420.9247692963902,12740.0,17688.0,4948.0,15886.074686970347,-1352.76,1257.5156072192503,-4076.0,1076.0,5152.0,1846.9718785081704,1522.35,2263.297140788191,-2239.0,4811.0,7050.0,2727.647973987846,-2165.85,2658.876170019957,-7033.0,4506.0,11539.0,3429.3627265134846,5085.51,4540.5908106655015,-6162.0,11360.0,17522.0,6817.578519533163,16958.44826821193,894.8703673604151,14735.018968430277,18637.022079720784,3902.003111290509,16982.042298852044,7561.035573224155,2917.312137985732,2462.658319783725,12407.520380801314,9944.86206101759,8104.31792626622,13.147532546572988,373.3419357999846,1076.7200844509916
normal_002,dataset\normal\normal_002.csv,NORMAL,-3370.64,998.3521174415368,-5600.0,-768.0,4832.0,3515.383472681181,17038.32,821.2694914581937,14764.0,20140.0,5376.0,17058.10165288037,-2777.56,906.2511607716704,-4992.0,-872.0,4120.0,2921.66574405766,83.51,2515.507692276054,-4525.0,4538.0,9063.0,2516.893495958858,2367.88,4095.084290414545,-4741.0,9263.0,14004.0,4730.388043279325,-1305.21,6116.07957648525,-12785.0,9467.0,22252.0,6253.799047778878,17639.265065957305,853.9388812428757,15243.875097887676,20949.32743550494,5705.452337617264,17659.92309383028,7844.707929052455,2506.368677561529,2823.477642907767,13511.469091109228,10687.99144820146,8235.370449469774,-16.042054547143003,453.5291269708393,1806.475111940796
normal_002,dataset\normal\normal_002.csv,NORMAL,-4094.28,2211.663718018632,-9028.0,704.0,9732.0,4653.448734003631,14580.76,2938.575475021868,9544.0,20140.0,10596.0,14873.92981024181,-2825.36,910.9761305325186,-5828.0,-952.0,4876.0,2968.5916930423423,-1364.45,1780.4912601582744,-4525.0,3299.0,7824.0,2243.183659444763,3406.68,2907.5036642453265,-1503.0,9263.0,10766.0,4478.732653329511,-5285.43,4259.021512636442,-13983.0,1678.0,15661.0,6787.859348130308,15656.220847105164,2565.864093569593,11095.280438096192,20949.32743550494,9854.046997408748,15865.084612443768,7741.370644531456,3352.1834949755703,1597.315247532559,14390.624204668817,12793.308957136258,8435.991562347606,-19.488266813932384,714.033942099632,2142.8316004740227
